,Location Name,Latitude,Longitude,Movie Name,Movie Page Link
54,Mumbai (मुंबई),19.078794,72.839874,12th Fail,https://www.latlong.net/location/12th-fail-locations-1963
55,Mussoorie (मसूरी),30.459574,78.060509,12th Fail,https://www.latlong.net/location/12th-fail-locations-1963
56,1837 Spruce St,34.105145,-118.144913,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
57,1839 Spruce St,34.105072,-118.144753,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
58,1965 Fletcher Ave,34.101704,-118.14267,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
59,260 5th Ave,40.745174,-73.987442,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
60,650 S Spring St,34.044563,-118.251915,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
61,777 S Figueroa St,34.048359,-118.261398,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
62,Greenwich Village,40.733841,-74.003822,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
63,MacDougal St & W 3rd St,40.730461,-74.000153,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
64,Marshall Fundamental Secondary School,34.163376,-118.112427,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
65,Meridian Ave & Mission St,34.115681,-118.157074,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
66,South Pasadena,34.11235,-118.159805,13 Going on 30,https://www.latlong.net/location/13-going-on-30-locations-756
67,2223 N Hobart Blvd,34.111271,-118.306541,17 Again,https://www.latlong.net/location/17-again-locations-1125
68,Santa Monica,34.026871,-118.493721,17 Again,https://www.latlong.net/location/17-again-locations-1125
69,Santa Monica High School,34.011414,-118.485283,17 Again,https://www.latlong.net/location/17-again-locations-1125
70,Van Nuys,34.201962,-118.462296,17 Again,https://www.latlong.net/location/17-again-locations-1125
71,Bovingdon Airfield,51.727039,-0.543427,1917,https://www.latlong.net/location/1917-locations-256
72,Govan,55.861454,-4.315441,1917,https://www.latlong.net/location/1917-locations-256
73,Hankley Common,51.164104,-0.733366,1917,https://www.latlong.net/location/1917-locations-256
74,Low Fell,54.934288,-1.598695,1917,https://www.latlong.net/location/1917-locations-256
75,Low Force Waterfall,54.646858,-2.15156,1917,https://www.latlong.net/location/1917-locations-256
76,Shepperton Studios,51.406651,-0.464499,1917,https://www.latlong.net/location/1917-locations-256
77,Teesside White Water Course,54.566181,-1.285477,1917,https://www.latlong.net/location/1917-locations-256
78,Wiltshire,51.293465,-2.087457,1917,https://www.latlong.net/location/1917-locations-256
79,Ashcroft,50.725941,-121.282127,2012,https://www.latlong.net/location/2012-locations-1658
80,Burnaby,49.247803,-122.988228,2012,https://www.latlong.net/location/2012-locations-1658
81,Cache Creek,50.80344,-121.329346,2012,https://www.latlong.net/location/2012-locations-1658
82,Honolulu,21.322365,-157.829941,2012,https://www.latlong.net/location/2012-locations-1658
83,Kamloops,50.693886,-120.385735,2012,https://www.latlong.net/location/2012-locations-1658
84,Las Vegas,36.173096,-115.17215,2012,https://www.latlong.net/location/2012-locations-1658
85,Los Angeles,34.06263,-118.261391,2012,https://www.latlong.net/location/2012-locations-1658
86,Vancouver,49.263283,-123.137657,2012,https://www.latlong.net/location/2012-locations-1658
87,Vancouver Film Studios,49.261082,-123.028046,2012,https://www.latlong.net/location/2012-locations-1658
88,Victoria,48.428814,-123.370438,2012,https://www.latlong.net/location/2012-locations-1658
89,Washington,38.906536,-77.05085,2012,https://www.latlong.net/location/2012-locations-1658
90,Brasil Nightclub,39.94809,-75.143059,21 Bridges,https://www.latlong.net/location/21-bridges-locations-228
91,Chinatown,39.956154,-75.153976,21 Bridges,https://www.latlong.net/location/21-bridges-locations-228
92,Fern Rock Transportation Center Station,40.041481,-75.135094,21 Bridges,https://www.latlong.net/location/21-bridges-locations-228
93,Kissin Fresh Meats,39.966339,-75.133141,21 Bridges,https://www.latlong.net/location/21-bridges-locations-228
94,Philadelphia,39.951061,-75.165619,21 Bridges,https://www.latlong.net/location/21-bridges-locations-228
95,Sun Center Studios,39.852608,-75.407822,21 Bridges,https://www.latlong.net/location/21-bridges-locations-228
96,Tinto,39.951488,-75.173828,21 Bridges,https://www.latlong.net/location/21-bridges-locations-228
97,University City,39.95229,-75.219421,21 Bridges,https://www.latlong.net/location/21-bridges-locations-228
98,Austin,30.258694,-97.756165,25th Hour,https://www.latlong.net/location/25th-hour-locations-1061
99,Bensonhurst,40.613663,-73.9963,25th Hour,https://www.latlong.net/location/25th-hour-locations-1061
